minute,s1_midterm 2_BVP,s2_midterm 2_BVP,s3_midterm 2_BVP,s4_midterm 2_BVP,s5_midterm 2_BVP,s6_midterm 2_BVP,s7_midterm 2_BVP,s8_midterm 2_BVP,s9_midterm 2_BVP,s10_midterm 2_BVP,test_progress,avg_BVP
78,-0.10870572916666665,-16.85,145.42,32.11,-26.71,-12.67,-96.62000000000002,48.52,28.38,-65.44,0.8666666666666667,3.6031294270833314
79,-0.22590885416666664,4.320000000000001,3.61,98.71,171.12,-15.3,35.85,45.39,-18.42,12.73,0.8777777777777778,33.77840911458333
80,0.25683593750000006,1.26,59.79,-51.83,-29.57,84.57,-30.86,29.46,-37.02,9.82,0.8888888888888888,3.5876835937499996
81,0.06765624999999999,-74.21,-19.36,71.21,2.27,11.390000000000002,-734.37,14.69,-17.7,11.37,0.9,-73.464234375
82,0.10145833333333334,-37.05,-7.79,-592.86,22.84,15.37,32.55,-56.25,51.42,72.52,0.9111111111111111,-49.91485416666668
83,-0.13323437499999993,-4.86,7.52,11.04,-4.36,-16.4,-189.62,128.78,143.31,3.33,0.9222222222222223,7.860676562499999
84,0.017091145833333318,-69.39,15.66,17.969999999999995,34.84,3.51,-17.02,-218.35,9.63,21.57,0.9333333333333333,-20.156290885416666
85,0.04905729166666668,-4.7,-25.92,24.17,-16.7,32.39,-61.86,-255.38,-0.29,24.34,0.9444444444444444,-28.390094270833337
86,0.0242708333333333,2.04,-126.46,-70.85,-120.12999999999998,-7.16,-1.36,-306.08,-17.77,-1.82,0.9555555555555556,-64.95657291666667
87,-0.13815885416666662,15.38,17.780000000000005,4.65,50.59,4.49,97.34,263.11,-21.57,-30.69,0.9666666666666667,40.094184114583335
88,0.26794270833333333,7.47,122.19,198.02,22.280000000000005,7.95,83.15,2.49,-29.54,-55.18999999999999,0.9777777777777777,35.90879427083333
89,-0.4905807291666667,9.51,9.109999999999998,55.01,8.43,-17.29,8.55,13.43,-92.37000000000002,31.4,0.9888888888888889,2.5289419270833298
90,0.3372161458333333,97.29,48.62,-30.55,9.99,-1.77,-107.73,-27.76,17.88,6.05,1.0,1.235721614583333
