minute,s1_midterm 2_HR,s2_midterm 2_HR,s3_midterm 2_HR,s4_midterm 2_HR,s5_midterm 2_HR,s6_midterm 2_HR,s7_midterm 2_HR,s8_midterm 2_HR,s9_midterm 2_HR,s10_midterm 2_HR,test_progress,avg_HR
51,80.55483333333333,97.07,104.97,92.12999999999998,110.17,75.42,109.78,117.92,88.83,74.03,0.5666666666666667,95.08748333333332
52,75.06966666666668,73.03,117.65,71.12000000000002,105.67,69.07,121.2,105.15,85.23,83.18,0.5777777777777777,90.63696666666667
53,83.70133333333334,85.73,112.07,64.58,115.48,91.37000000000002,106.95,107.1,103.83,82.75,0.5888888888888889,95.35613333333335
54,91.27016666666667,148.2,95.25,79.1,106.58,68.4,83.67,74.77,89.92,80.8,0.6,91.79601666666665
55,77.20566666666667,117.32,99.65,81.72,110.12000000000002,75.7,81.27,105.5,85.4,110.43,0.6111111111111112,94.43156666666667
56,103.3115,106.4,84.12999999999998,79.17,106.23,56.2,69.2,109.12999999999998,85.78,85.05,0.6222222222222222,88.46015
57,110.17733333333334,92.07,91.68,76.28,109.92,69.6,77.27,90.33,74.45,89.8,0.6333333333333333,88.15773333333333
58,108.04400000000001,81.05,90.22,75.27,108.2,80.8,74.37000000000002,81.6,75.22,116.33,0.6444444444444445,89.1104
59,117.48116666666667,90.83,89.5,78.3,108.45,77.55,82.72,100.43,92.62999999999998,121.48,0.6555555555555556,95.93711666666667
60,106.28299999999999,100.78,68.75,65.33,111.4,76.58,83.47,91.62999999999998,110.03,95.17,0.6666666666666666,90.9423
61,102.60066666666667,92.05,87.12000000000002,64.85,111.62000000000002,86.93,72.65,77.3,104.87000000000002,100.32,0.6777777777777778,90.03106666666665
62,87.51683333333334,90.93,81.12999999999998,66.37,108.37000000000002,89.95,80.52,81.42,89.55,107.15,0.6888888888888889,88.29068333333332
63,106.27633333333333,94.18,81.55,64.57,95.28,93.25,72.62999999999998,77.57,91.95,92.67,0.7,86.99263333333332
64,115.02366666666667,89.18,98.12999999999998,59.78,67.52,74.12999999999998,64.63,96.2,101.37000000000002,86.08,0.7111111111111111,85.20436666666667
65,117.14133333333332,96.93,96.3,67.48,60.65,73.17,72.72,75.72,87.25,79.52,0.7222222222222222,82.68813333333334
66,120.98933333333333,95.4,93.22,67.97,90.52,79.02,72.17,75.45,89.5,94.37999999999998,0.7333333333333333,87.86193333333333
67,120.36266666666667,77.4,104.97,87.65,110.28,79.6,84.05,85.85,93.72,88.67,0.7444444444444445,93.25526666666666
68,98.72816666666668,83.93,77.15,87.53,114.52,82.05,83.57,83.33,78.42,88.98,0.7555555555555555,87.82081666666666
69,89.66266666666667,106.87999999999998,85.2,79.37999999999998,111.73,78.03,104.1,75.8,74.17,84.85,0.7666666666666667,88.98026666666667
70,87.3725,86.12000000000002,86.82,87.17,116.67,76.68,116.45,79.62999999999998,80.83,91.33,0.7777777777777778,90.90725
71,66.66566666666667,73.75,104.93,82.43,114.03,84.47,114.02,82.37999999999998,89.65,90.8,0.7888888888888889,90.31256666666665
72,80.82516666666668,99.0,103.72,71.57,112.73,85.18,108.25,86.05,93.25,65.12,0.8,90.56951666666666
73,91.70016666666668,95.52,100.3,94.82,103.0,71.97,98.28,90.83,77.73,85.25,0.8111111111111111,90.94001666666666
74,75.86416666666668,93.0,108.87999999999998,97.92,105.48,81.37000000000002,80.65,114.85,71.12999999999998,78.85,0.8222222222222222,90.79941666666667
75,78.46316666666667,80.15,97.3,82.37000000000002,113.48,89.72,66.65,110.57,109.18,83.0,0.8333333333333334,91.08831666666667
76,108.864,66.87,103.92,85.7,113.62999999999998,83.68,98.52,122.5,117.1,92.33,0.8444444444444444,99.3114
77,94.412,89.47,72.75,67.7,115.9,80.5,66.33,92.15,80.78,89.02,0.8555555555555555,84.90119999999999
78,98.91816666666666,85.18,89.97,69.58,113.12999999999998,76.72,90.25,83.08,78.87999999999998,91.25,0.8666666666666667,87.69581666666667
79,91.3375,71.1,94.45,80.73,111.27,73.15,79.97,93.87999999999998,87.75,82.37999999999998,0.8777777777777778,86.60175000000001
80,100.33466666666666,90.98,106.98,100.08,106.42,89.53,85.97,71.37000000000002,80.78,87.65,0.8888888888888888,92.00946666666667
81,119.235,96.98,105.85,88.58,109.22,76.17,75.87999999999998,78.2,70.55,85.27,0.9,90.59349999999999
82,118.975,96.5,94.37000000000002,73.42,111.75,76.27,80.85,84.62000000000002,93.25,85.55,0.9111111111111111,91.55550000000001
83,113.51283333333332,96.15,103.7,70.47,111.23,77.47,74.33,108.62000000000002,87.18,76.55,0.9222222222222223,91.92128333333332
84,115.36733333333333,97.95,90.12000000000002,85.77,112.72,82.1,77.22,142.48,87.77,88.87000000000002,0.9333333333333333,98.03673333333333
85,128.56516666666667,95.27,78.43,78.37999999999998,106.02,88.3,89.55,99.05,81.62000000000002,92.97,0.9444444444444444,93.81551666666665
86,107.383,96.33,99.43,90.07,97.9,94.33,94.62000000000002,103.25,90.3,82.27,0.9555555555555556,95.5883
87,111.0705,96.43,102.08,83.43,121.97,75.35,99.17,84.72,93.77,79.58,0.9666666666666667,94.75705
88,107.7155,98.85,102.97,92.55,119.18,77.18,61.03,79.85,86.12000000000002,68.25,0.9777777777777777,89.36955
89,113.539,101.17,97.95,68.22,118.07,77.67,63.05,83.12000000000002,78.67,70.18,0.9888888888888889,87.16389999999998
90,83.44283333333333,92.1,94.18,83.72,111.37999999999998,80.37999999999998,83.22,76.37000000000002,89.08,68.98,1.0,86.28528333333334
