minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
38,118.7145,107.12999999999998,99.32,83.35,94.28,71.23,86.62000000000002,88.43,89.82,84.12000000000002,0.2111111111111111,92.30144999999999
39,122.40183333333333,112.12000000000002,89.22,83.6,108.8,78.22,75.87000000000002,71.47,83.22,80.73,0.21666666666666667,90.56518333333335
40,106.28983333333333,114.43,94.82,76.95,117.93,73.83,86.07,82.32,86.65,88.25,0.2222222222222222,92.75398333333331
41,87.29766666666666,108.82,91.05,82.32,108.82,76.97,81.5,84.6,88.18,83.4,0.22777777777777777,89.29576666666665
42,95.11216666666665,114.77,86.65,81.27,108.9,71.65,94.37000000000002,81.32,91.2,81.95,0.23333333333333334,90.71921666666667
43,92.865,109.83,79.92,66.48,91.93,71.1,94.5,75.15,87.0,79.65,0.2388888888888889,84.8425
44,111.1405,87.22,103.05,77.18,107.62000000000002,75.45,85.78,64.63,85.23,75.57,0.24444444444444444,87.28705
45,97.98916666666668,101.9,92.78,86.3,78.58,80.95,88.43,58.82,90.53,68.62000000000002,0.25,84.48991666666669
46,74.78583333333333,94.97,90.8,78.87999999999998,75.62999999999998,71.2,89.5,75.82,85.62999999999998,109.48,0.25555555555555554,84.66958333333334
47,86.97183333333334,104.43,86.33,75.98,103.15,75.48,77.87000000000002,73.12999999999998,86.45,94.52,0.2611111111111111,86.43118333333334
48,109.13533333333334,105.82,92.83,77.08,111.72,68.43,73.23,79.72,83.62000000000002,73.52,0.26666666666666666,87.51053333333333
49,113.8125,107.47,61.22,79.73,117.83,67.52,84.77,97.42,87.02,112.3,0.2722222222222222,92.90924999999999
50,109.19083333333333,108.95,90.68,81.92,108.83,81.85,106.98,91.82,84.92,88.9,0.2777777777777778,95.40408333333332
51,103.29016666666666,108.82,76.62999999999998,70.33,100.73,87.98,99.1,91.48,87.5,79.73,0.2833333333333333,90.55901666666668
52,90.5825,107.37999999999998,62.7,60.68,105.53,79.67,89.12999999999998,75.45,83.9,81.57,0.28888888888888886,83.65925
53,100.70383333333332,114.08,76.82,58.77,87.6,78.85,75.97,75.35,86.75,84.32,0.29444444444444445,83.92138333333335
54,94.8035,106.78,112.35,72.97,72.5,79.8,78.47,72.72,84.43,74.53,0.3,84.93535
55,87.37416666666667,80.33,112.85,89.62999999999998,87.83,72.4,74.62000000000002,78.5,88.17,75.57,0.3055555555555556,84.72741666666666
56,78.3515,81.27,92.52,67.28,74.47,75.03,81.4,78.03,82.32,87.9,0.3111111111111111,79.85714999999999
57,75.12566666666666,102.42,96.93,96.0,104.28,77.03,80.9,72.97,82.25,73.7,0.31666666666666665,86.16056666666667
58,83.09833333333333,80.28,87.42,76.57,87.43,72.08,142.98,70.07,84.0,76.67,0.32222222222222224,86.05983333333333
59,90.19666666666667,93.35,87.23,94.32,82.22,67.93,116.32,94.55,84.95,81.37000000000002,0.3277777777777778,89.24366666666666
60,73.17133333333332,118.32,93.92,98.48,90.8,73.05,80.95,87.5,84.5,77.95,0.3333333333333333,87.86413333333334
61,92.67983333333333,119.97,61.6,91.78,99.9,74.33,64.45,66.37,95.98,82.9,0.3388888888888889,84.99598333333334
62,96.46266666666666,111.37999999999998,108.62000000000002,82.1,100.62999999999998,71.77,73.08,70.1,78.7,77.22,0.34444444444444444,87.00626666666668
63,99.67433333333334,108.27,91.52,86.68,101.07,79.2,70.97,69.37000000000002,77.5,80.33,0.35,86.45843333333335
64,106.9165,110.08,84.37000000000002,81.65,92.68,68.77,75.28,81.17,71.82,124.08,0.35555555555555557,89.68165
65,97.92283333333333,104.23,86.23,74.95,83.58,79.45,69.27,75.57,85.37999999999998,86.92,0.3611111111111111,84.35028333333332
66,88.975,102.98,90.98,63.67,90.0,69.98,72.83,80.68,83.47,74.72,0.36666666666666664,81.8285
67,101.62266666666666,106.17,81.87999999999998,76.87000000000002,100.73,59.73,75.9,88.23,83.05,68.6,0.37222222222222223,84.27826666666667
