minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
60,0.3333333333333333,46.662222192249565,63.18722237480631,53.259749923306934,52.8612479017736,53.96697978037506,48.409976113461624,42.189330240675524,51.97822690832394,53.817712464148144,46.76564986893019,51.3098317768051
61,0.3388888888888889,51.14249569098479,58.52648860839185,46.03422851322022,51.40708512192373,52.256226633295114,49.64106110860431,40.049507272576335,48.593812448325366,56.24259696344361,50.74777146819645,50.46412738289617
62,0.3444444444444444,52.030344735379565,58.30040677420343,58.04945025450619,49.12086229838399,56.47843436715825,48.914784364754155,42.41985049749196,49.531960335418354,53.420319031665166,46.08656836524318,51.43529810242042
63,0.35,52.920204219854874,58.44004157609469,52.58258335490705,51.044335925907795,56.358439013407974,51.431152149310826,37.79329747709276,50.03108584653586,51.84005285449431,46.80323406220807,50.92444264798142
64,0.3555555555555555,54.58970384610098,57.69926534009713,51.09036480377609,49.39362983053388,54.0084175866941,47.62036111808721,42.71621551891943,62.62010799570103,51.17469944244689,54.51367957421274,52.54264450565694
65,0.3611111111111111,52.423920604549856,57.31536567594643,52.12117423943024,48.19652196798673,52.53248620863254,50.46734763607751,40.34420817179099,49.6143612155063,50.997310999295316,40.98186144264981,49.49945581618657
66,0.3666666666666666,50.32689121212132,59.858095277967124,52.15321053357312,45.991615939104236,51.32983191716627,48.45254669789386,37.76189403421724,51.536126422199715,49.86423418581256,45.54405282533562,49.2818499045391
67,0.3722222222222222,53.14647204701941,60.089711132963764,51.486772632846225,48.92559354032809,54.16990780490884,46.72375244590811,42.86307662721384,55.184461042855624,54.0849782769782,44.53641146591848,51.12111370169406
68,0.3777777777777777,54.082429649907844,59.824915322096665,55.3538048665037,48.44968579621002,55.99297013245236,46.69484344623654,46.418586474090944,56.855973185850324,49.9454581004589,47.17252503406299,52.07911920078702
69,0.3833333333333333,54.42748956914986,60.20002475856345,49.17943896772697,47.19353310848609,51.83943171217711,49.310574270408864,49.69735555538622,61.94758117759221,53.26824208037263,48.74573112467481,52.58094023245381
70,0.3888888888888889,54.42185786843197,63.27035916968102,56.75957557733631,48.07573135516094,56.07570239015897,50.467722447862485,44.3390326577962,59.61439586540062,53.62817066789962,47.149273223290386,53.38018212230186
71,0.3944444444444444,52.18775062169439,60.605717110749914,51.24833288005039,48.71301552604876,58.49291279651143,50.11777740620547,43.66494923009136,52.53964544799472,52.96184256677051,50.646989555133224,52.117893314125
72,0.4,51.6283774391704,59.73550028976703,50.020197308259206,43.77300323985002,55.86443404060824,52.02907308748294,43.28713185675057,54.05447052158613,54.84416633368307,54.36257405785101,51.95989281750087
73,0.4055555555555555,53.19845684645719,61.24721225386602,46.62801161308759,50.08667702849349,57.29248566293568,49.20869912794325,44.50609606801453,50.92572907022949,53.06212779498094,49.500681089365855,51.5656176555374
74,0.4111111111111111,54.0532809186825,60.52715331086822,48.531232608887535,48.41468407079366,56.96197320137647,51.50737796176909,45.30708616869648,52.214035811932014,53.013356441238294,50.43280063298122,52.09629811272255
75,0.4166666666666667,53.7984202273935,60.94959167373833,62.93554692926887,46.944917621704,57.42451654907217,49.33252051950333,45.83688279716702,53.0140881442201,53.59757596246407,47.12386035967514,53.095792078420665
76,0.4222222222222222,49.46376298582383,61.78956710799431,60.70273192008367,48.94635574393933,56.92466070180427,49.82051964318231,40.7764245247595,52.80077616702159,52.83151017569744,50.118006408918625,52.41743153792248
77,0.4277777777777777,46.90040496976266,63.25643031043301,49.32013501417263,48.90425808116455,58.78933315858776,49.818333169491716,44.519634756474034,54.77656191798948,51.64246432957481,45.39539755881349,51.33229532664642
78,0.4333333333333333,46.64425494028422,63.453381457143394,48.294112181499464,48.376088316377576,56.762390098472025,49.54946798321208,46.22932174869974,51.48511618634393,51.26913125814696,48.774281010995935,51.08375451811753
79,0.4388888888888889,48.99708818684659,61.12136210163504,47.144714645928836,45.65927627985338,54.4876253495629,49.167475986204316,60.394049352248054,50.871671073007995,52.08580458510329,46.13336900143734,51.60624365618277
80,0.4444444444444444,52.50177756225812,60.48905173116557,55.081304113893225,47.99345820883443,55.889934961853236,51.71169352006185,52.73571550264518,56.78485372136088,56.484764296991465,47.985625404985136,53.76581790240491
81,0.45,53.7299456604187,59.81126693336404,51.02515897815081,50.45340991530162,57.318541819068365,51.13410177159677,50.38333822531498,57.70492142140986,52.9834323904889,51.93529146616322,53.64794085812772
82,0.4555555555555555,50.61289385841903,60.59692494730863,51.84520120602314,44.7415514676253,55.75839285093906,52.18514639956579,54.03225956850314,54.18455931514543,52.85040867227607,49.28693210538489,52.60942703911904
83,0.4611111111111111,50.58673773499428,60.52069775132879,52.36225312628283,51.37356590556852,58.77191505683346,51.7913307584937,56.40863100081899,56.691169322070344,52.449875534010324,48.23106320483807,53.91872393952393
84,0.4666666666666667,52.98621143855129,62.496877868865916,54.40339030756321,48.28799867653159,57.15743467321342,49.32362983314581,54.18830686198558,52.118767082779435,52.77460642610544,52.817634749458506,53.65548579182001
85,0.4722222222222222,53.88180106583735,61.20561714153511,51.810671583608816,52.02685836947262,57.215183014245355,50.30400324550616,52.24418232837373,53.97758368524186,53.196089953790676,43.27068585579343,52.91326762434052
86,0.4777777777777778,56.44805384052956,62.14461023139601,47.04274813748793,47.21463002519113,58.307329772694715,49.61797741120307,51.16707305978705,53.7131652486035,52.864021083175054,48.64102104248235,52.71606298525504
87,0.4833333333333333,52.795339374695224,62.2364757101525,45.75602893155368,47.96028851723823,54.546384066495655,49.87928085055702,47.57894255869746,58.690723256603974,56.51319669159336,47.470248303481135,52.34269082610682
88,0.4888888888888889,52.97311407755021,63.75772906112857,48.332459063582064,48.571356074269964,58.466843439818376,50.881542334315675,42.945340570755725,50.94437887230962,52.399078490929234,51.99628930795742,52.12681312926169
89,0.4944444444444444,52.065298913957854,61.14206393413707,48.47874189076134,50.00839758438939,50.131115971550024,50.83714361913258,41.19017613433945,54.39450482419542,53.4694912990077,46.681976068190856,50.83989102396617
