minute,s1_midterm 2_EDA,s2_midterm 2_EDA,s3_midterm 2_EDA,s4_midterm 2_EDA,s5_midterm 2_EDA,s6_midterm 2_EDA,s7_midterm 2_EDA,s8_midterm 2_EDA,s9_midterm 2_EDA,s10_midterm 2_EDA,test_progress,avg_EDA
79,0.1854406,0.433383,0.341142,0.708758,0.592133,0.906004,0.260032,0.099956,2.595323,0.324157,0.8777777777777778,0.64463286
80,0.190352375,0.25783,0.33345299999999994,0.698508,0.594694,0.693342,0.550806,0.003844,2.860543,0.324157,0.8888888888888888,0.6507529374999999
81,0.18989327083333332,0.159162,0.295009,0.921433,0.537052,0.950843,0.565164,0.017941,1.72264,0.320313,0.9,0.5679450270833333
82,0.19164437916666666,0.096373,0.277068,0.877873,0.512714,0.781738,0.685573,0.107645,1.368814,0.334407,0.9111111111111111,0.5233849379166666
83,0.19154302083333336,0.092528,0.280912,0.854812,0.607435,0.630568,0.583097,0.003844,1.034407,0.344657,0.9222222222222223,0.46238030208333336
84,0.1947516375,0.077151,0.289883,0.762567,0.647144,0.540891,0.667639,0.02563,0.911308,0.34722,0.9333333333333333,0.44641846375
85,0.19591022083333334,0.0669,0.342424,0.786978,0.595906,0.28339,0.864974,0.161467,0.7870259999999999,0.317751,0.9444444444444444,0.44027262208333334
86,0.2001013,0.05793,0.374461,0.916308,0.631773,0.31798,0.963607,0.45749,0.633275,0.31647,0.9555555555555556,0.48693953
87,0.19880925416666667,0.207588,0.348831,0.884348,0.793172,0.26033,0.744496,0.302431,0.561525,0.320313,0.9666666666666667,0.46218432541666665
88,0.19509870416666666,0.207588,0.388557,1.079087,0.788048,0.216773,0.812386,0.007689,0.561456,0.320313,0.9777777777777777,0.45769957041666665
89,0.1905019,0.206307,0.312949,0.851037,0.745777,0.339758,0.224165,0.005126,1.065058,0.325438,0.9888888888888889,0.4266116900000001
90,0.18775241666666667,0.213995,0.40009,0.762636,0.711191,0.373067,1.17112,0.005126,2.35295,0.320313,1.0,0.6498240416666665
